,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
138,0.0276,1.7225,0.9684,0.995,1.2017,1.3558,1.0451666666666668,-0.6773333333333331,0.07676666666666676,0.050166666666666804,-0.1565333333333332,-0.3106333333333331
139,0.0278,1.7181,0.9725,0.9928,1.1911,1.3449,1.0412000000000001,-0.6768999999999998,0.0687000000000001,0.04840000000000011,-0.14989999999999992,-0.30369999999999986
140,0.028,1.7225,0.9748,0.9979,1.1901,1.3262,1.0399166666666666,-0.6825833333333333,0.0651166666666666,0.04201666666666659,-0.15018333333333334,-0.28628333333333345
141,0.0282,1.7181,0.9794,0.9922,1.1873,1.3057,1.03515,-0.68295,0.055749999999999966,0.042950000000000044,-0.15215,-0.27055000000000007
142,0.0284,1.7247,0.9777,0.9853,1.1743,1.2994,1.0316333333333334,-0.6930666666666665,0.05393333333333339,0.04633333333333345,-0.1426666666666665,-0.2677666666666667
143,0.0286,1.7159,0.9835,0.9842,1.1707,1.2671,1.025,-0.6909000000000001,0.04149999999999987,0.04079999999999995,-0.14570000000000016,-0.24209999999999998
144,0.0288,1.7247,0.9863,0.9807,1.1689,1.2591,1.02475,-0.6999499999999999,0.038450000000000095,0.044050000000000034,-0.14415,-0.23435000000000006
145,0.029,1.7181,0.9875,0.9778,1.1583,1.2534,1.0206833333333332,-0.6974166666666668,0.03318333333333312,0.04288333333333316,-0.13761666666666694,-0.2327166666666669
146,0.0292,1.7225,0.9886,0.9749,1.1826,1.2413,1.0231833333333333,-0.6993166666666666,0.0345833333333333,0.048283333333333345,-0.15941666666666676,-0.21811666666666674
147,0.0294,1.705,0.9915,0.972,1.1439,1.2359,1.01295,-0.69205,0.02144999999999997,0.04095000000000004,-0.1309499999999999,-0.22294999999999998
148,0.0296,1.7291,0.9932,0.9697,1.1653,1.2306,1.0195833333333333,-0.7095166666666668,0.026383333333333314,0.04988333333333328,-0.14571666666666672,-0.21101666666666663
149,0.0298,1.7181,0.9949,0.9662,1.1689,1.2413,1.0198666666666665,-0.6982333333333335,0.02496666666666647,0.05366666666666653,-0.14903333333333357,-0.2214333333333336
150,0.03,1.7247,0.9984,0.9633,1.1725,1.2391,1.0213333333333334,-0.7033666666666665,0.022933333333333472,0.05803333333333338,-0.15116666666666667,-0.21776666666666666
151,0.0302,1.7203,1.0001,0.9615,1.1707,1.2501,1.02215,-0.69815,0.022049999999999903,0.06064999999999987,-0.14855000000000018,-0.2279500000000001
152,0.0304,1.7203,1.0041,0.9604,1.1844,1.2568,1.0260666666666667,-0.6942333333333333,0.02196666666666669,0.06566666666666665,-0.15833333333333321,-0.23073333333333323
153,0.0306,1.7247,1.0081,0.9592,1.1873,1.2602,1.02835,-0.6963499999999998,0.0202500000000001,0.06915000000000004,-0.15894999999999992,-0.2318499999999999
154,0.0308,1.7203,1.0099,0.958,1.1882,1.2579,1.0275166666666669,-0.6927833333333331,0.017616666666666836,0.0695166666666669,-0.16068333333333307,-0.23038333333333316
155,0.031,1.7159,1.0139,0.9574,1.1911,1.2625,1.0286333333333333,-0.6872666666666667,0.014733333333333265,0.07123333333333326,-0.16246666666666676,-0.23386666666666667
